,case_id,law_id,cited_article,law_type
629,61961CJ0013,31962R0017,A09,R
897,61964CJ0032,31968R0950,50,R
971,61964CJ0056,31962R0017,A19P1,R
1008,61965CJ0032,31962R0017,A05P2,R
1046,61965CJ0056,31962R0017,ENTIRE_ARTICLE,R
1329,61968CJ0014,31962R0017,A09P3,R
1402,61969CJ0002,31968R0950,ENTIRE_ARTICLE,R
1439,61969CJ0010,31962R0017,A15P6,R
1456,61969CJ0015,31968R1612,A07,R
1511,61969CJ0038,31968R0950,ENTIRE_ARTICLE,R
1523,61969CJ0040,31968R0950,TR1AP5,R
1540,61969CJ0041,31962R0017,A24,R
1549,61969CJ0043,31962R0017,A09P3,R
1552,61969CJ0044,31962R0017,A19P1,R
1559,61969CJ0045,31962R0017,A19P1,R
1567,61969CJ0048,31962R0017,A19P1,R
1575,61969CJ0049,31962R0017,A19P1,R
1581,61969CJ0051,31962R0017,A19P1,R
1588,61969CJ0052,31962R0017,A19P1,R
1596,61969CJ0053,31962R0017,A19P1,R
1604,61969CJ0054,31962R0017,A21,R
1609,61969CJ0055,31962R0017,A19P1,R
1615,61969CJ0056,31962R0017,A19P1,R
1621,61969CJ0057,31962R0017,A19P1,R
1681,61970CJ0001,31962R0017,A11,R
1750,61970CJ0014,31968R0950,ENTIRE_ARTICLE,R
1816,61970CJ0028,31968R0950,02-02,R
1998,61971CJ0003,31968R0950,20-NC2,R
2075,61971CJ0022,31962R0017,A04P2,R
2102,61971CJ0030,31968R0950,ENTIRE_ARTICLE,R
2116,61971CJ0036,31968R0950,23-07,R
2189,61971CJ0077,31968R0950,ENTIRE_ARTICLE,R
2231,61971CJ0092,31968R0950,20-NC2,R
2268,61972CJ0001,31968R1612,A07P2,R
2286,61972CJ0006,31962R0017,A19,R
2300,61972CJ0007,31962R0017,A15,R
2364,61972CJ0018,31968R0950,23-04,R
2411,61972CJ0038,31968R0950,23-07,R
2449,61972CJ0044,31968R1612,A07P2,R
2451,61972CJ0045,31971R1408,A84P4,R
2464,61972CJ0048,31962R0017,ENTIRE_ARTICLE,R
2540,61972CJ0073,31971R1408,A14P1LC,R
2544,61972CJ0076,31968R1612,C5,R
2569,61972CJ0080,31968R0950,23-02A,R
2585,61972CJ0082,31971R1408,N2,R
2624,61973CJ0006,31962R0017,A03,R
2649,61973CJ0009,31968R0950,04-04A1A,R
2697,61973CJ0012,31968R0950,16-01B01,R
2714,61973CJ0035,31971R1408,A28,R
2723,61973CJ0037,31968R0950,ENTIRE_ARTICLE,R
2738,61973CJ0040,31962R0017,A19P1,R
2751,61973CJ0041(01),31962R0017,A18,R
