,case_id,bcoefficient,publication_year,total_citations,max_citations_in_a_year,max_citation_year,awakening_time_year,sleep_time_years,time_from_awakening_to_peak_years,peak_year_relative_importance,sleep_to_peak_ratio,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities,case_name,top_cited,source,subject
202,61996CJ0389,30.0,1998,4,2,2004,2003,5,1,0.5,0.2,  Case C-389/96,EU:C:1998:357,Judgement,Wathelet, G. Cosmas,Germany,Germany-Fifth Chamber,Fifth Chamber,3,1996-11-29,1998-07-14,1998,7,1996.0,11.0,1.621917808219178,1,0,Judgment of the Court (Fifth Chamber) of 14 July 1998. , Aher-Waggon GmbH v Bundesrepublik Deutschland. ,0.000724112961622013,0.04631598342334175,1.853516760016397e-05,3.696416387335965e-05,0.00012489251780555438,8.858792921495459e-05,61996CJ0389:  Aher-Waggon GmbH v Bundesrepublik Deutschland. ,0,61996CJ0389,Environment
208,61996CJ0389,30.0,1998,4,2,2004,2003,5,1,0.5,0.2,  Case C-389/96,EU:C:1998:357,Judgement,Wathelet, G. Cosmas,Germany,Germany-Fifth Chamber,Fifth Chamber,3,1996-11-29,1998-07-14,1998,7,1996.0,11.0,1.621917808219178,1,0,Judgment of the Court (Fifth Chamber) of 14 July 1998. , Aher-Waggon GmbH v Bundesrepublik Deutschland. ,0.000724112961622013,0.04631598342334175,1.853516760016397e-05,3.696416387335965e-05,0.00012489251780555438,8.858792921495459e-05,61996CJ0389:  Aher-Waggon GmbH v Bundesrepublik Deutschland. ,0,61996CJ0389,Environment
214,61996CJ0389,30.0,1998,4,2,2004,2003,5,1,0.5,0.2,  Case C-389/96,EU:C:1998:357,Judgement,Wathelet, G. Cosmas,Germany,Germany-Fifth Chamber,Fifth Chamber,3,1996-11-29,1998-07-14,1998,7,1996.0,11.0,1.621917808219178,1,0,Judgment of the Court (Fifth Chamber) of 14 July 1998. , Aher-Waggon GmbH v Bundesrepublik Deutschland. ,0.000724112961622013,0.04631598342334175,1.853516760016397e-05,3.696416387335965e-05,0.00012489251780555438,8.858792921495459e-05,61996CJ0389:  Aher-Waggon GmbH v Bundesrepublik Deutschland. ,0,61996CJ0389,Environment
247,62004CJ0507,0.0,2007,4,1,2008,2007,0,1,0.25,0.0,  Case C-507/04,EU:C:2007:427,Judgement,Silva de Lapuerta, J. Kokott,Austria,Austria-Fourth Chamber,Fourth Chamber,1,2004-12-08,2007-07-12,2007,7,2004.0,12.0,2.591780821917808,1,0,Judgment of the Court (Fourth Chamber) of 12 July 2007. , Commission of the European Communities v Republic of Austria. ,0.0009956553222302679,0.00041377883521257885,1.0842794641227605e-06,6.904463269979136e-05,2.5013557061950905e-05,1.5740761309374413e-05,62004CJ0507:  Commission of the European Communities v Republic of Austria. ,0,62004CJ0507,Environment
248,62004CJ0235,0.0,2007,6,2,2007,2007,0,0,0.3333333333333333,0.0,  Case C-235/04,EU:C:2007:386,Judgement,KÅ«ris, J. Kokott,Spain,Spain-Second Chamber,Second Chamber,1,2004-06-04,2007-06-28,2007,6,2004.0,6.0,3.0657534246575344,1,0,Judgment of the Court (Second Chamber) of 28 June 2007. , Commission of the European Communities v Kingdom of Spain. ,0.0006335988414192613,0.04653577378543574,4.316259630698092e-05,7.747452200827799e-05,3.214410453325645e-07,3.258221928143683e-05,62004CJ0235:  Commission of the European Communities v Kingdom of Spain. ,0,62004CJ0235,Environment
249,62004CJ0508,0.0,2007,4,1,2008,2007,0,1,0.25,0.0,  Case C-508/04,EU:C:2007:274,Judgement,Silva de Lapuerta, J. Kokott,Austria,Austria-Fourth Chamber,Fourth Chamber,1,2004-12-08,2007-05-10,2007,5,2004.0,12.0,2.419178082191781,1,0,Judgment of the Court (Fourth Chamber) of 10 May 2007. , Commission of the European Communities v Republic of Austria. ,0.0005430847212165098,0.0009212138028111824,5.2117468664517604e-05,5.5146516008767226e-05,2.9222506629117297e-06,9.994266820815454e-06,62004CJ0508:  Commission of the European Communities v Republic of Austria. ,0,62004CJ0508,Environment
495,62000CJ0336,3.0,2002,10,2,2005,2004,2,1,0.2,0.5,  Case C-336/00,EU:C:2002:509,Judgement,Wathelet,Alber,Austria,Austria-Fifth Chamber,Fifth Chamber,2,2000-09-14,2002-09-19,2002,9,2000.0,9.0,2.0136986301369864,1,0,Judgment of the Court (Fifth Chamber) of 19 September 2002. , Republik Österreich v Martin Huber. ,0.0020818247646632875,0.04759397991155862,0.0006998458340712853,0.0001021794579162493,2.9710995262112306e-05,2.8919000894699657e-05,62000CJ0336:  Republik Österreich v Martin Huber. ,0,62000CJ0336,Environment
498,62000CJ0336,3.0,2002,10,2,2005,2004,2,1,0.2,0.5,  Case C-336/00,EU:C:2002:509,Judgement,Wathelet,Alber,Austria,Austria-Fifth Chamber,Fifth Chamber,2,2000-09-14,2002-09-19,2002,9,2000.0,9.0,2.0136986301369864,1,0,Judgment of the Court (Fifth Chamber) of 19 September 2002. , Republik Österreich v Martin Huber. ,0.0020818247646632875,0.04759397991155862,0.0006998458340712853,0.0001021794579162493,2.9710995262112306e-05,2.8919000894699657e-05,62000CJ0336:  Republik Österreich v Martin Huber. ,0,62000CJ0336,Environment
740,62002CJ0072,0.0,2003,3,1,2003,2003,0,0,0.3333333333333333,0.0,  Case C-72/02,EU:C:2003:369,Judgement,Gulmann,Alber,Portugal,Portugal-not_specified,not_specified,1,2002-03-04,2003-06-24,2003,6,2002.0,3.0,1.3068493150684932,1,0,Judgment of the Court of 24 June 2003. , Commission of the European Communities v Portuguese Republic. ,0.0005430847212165098,0.05090362438753135,4.444868455753032e-05,5.078882257525828e-05,4.2365890531527355e-06,1.3866018654363013e-05,62002CJ0072:  Commission of the European Communities v Portuguese Republic. ,0,62002CJ0072,Environment
742,62000CJ0444,0.0,2003,3,2,2004,2003,0,1,0.6666666666666666,0.0,  Case C-444/00,EU:C:2003:356,Judgement,Timmermans,Alber,United Kingdom,United Kingdom-Fifth Chamber,Fifth Chamber,2,2000-11-30,2003-06-19,2003,6,2000.0,11.0,2.5506849315068494,1,0,Judgment of the Court (Fifth Chamber) of 19 June 2003. , The Queen; on the application of Mayer Parry Recycling Ltd; v Environment Agency and Secretary of State for the Environment; Transport and the Regions; and Corus (UK) Ltd and Allied Steel and Wire Ltd (ASW). ,0.0003620564808110065,0.041269890461159066,1.701616024002084e-05,4.102238748850168e-05,4.923570727994544e-07,8.212852106440638e-05,62000CJ0444:  The Queen; on the application of Mayer Parry Recycling Ltd; v Environment Agency and Secretary of State for the Environment; Transport and the Regions; and Corus (UK) Ltd and Allied Steel and Wire Ltd (ASW). ,0,62000CJ0444,Environment
